"HDI Rank (2017)","Country","2010","","2011","","2012","","2013","","2014","","2015","","2016","","2017",""
"124"," Nicaragua","23.8","","33.6","","33.6","","31.0","","28.3","","32.1","","32.1","","29.2"," a,b"
"189"," Niger","21.1","","17.9","","17.9","","17.9","","12.3","","12.3","","12.3","","16.4"," a,b"
"157"," Nigeria","25.1","","28.8","","34.5","","34.5","","28.4","","28.4","","28.5","","28.2"," a,b"
"1"," Norway","13.1","","10.6","","12.8","","10.7","","10.2","","10.4","","14.3","","14.9"," a,b"
"150"," Pakistan","10.6","","11.0","","11.0","","11.0","","11.6","","11.6","","11.6","","11.6"," a,b"
"60"," Palau","","","","","","","23.0","","23.0","","23.0","","23.0","","",""
"119"," Palestine, State of","","","","","","","15.0","","15.0","","15.0","","18.5","","18.5"," a,b"
"66"," Panama","52.6","","40.5","","40.5","","35.8","","36.5","","38.0","","35.3","","36.5"," a,b"
"110"," Paraguay","33.4","","33.4","","33.4","","34.6","","30.1","","38.3","","33.9","","39.5"," a,b"
"89"," Peru","42.7","","30.0","","32.5","","30.6","","31.9","","29.5","","29.6","","28.3"," a,b"
"113"," Philippines","28.0","","30.0","","30.0","","25.2","","26.8","","26.8","","26.8","","26.8"," a,b"
"33"," Poland","18.4","","16.3","","17.1","","17.9","","17.5","","17.4","","17.6","","17.1"," a,b"
"41"," Portugal","23.9","","19.3","","20.8","","19.9","","20.3","","20.4","","20.5","","20.5"," a,b"
"52"," Romania","12.2","","22.2","","22.2","","17.3","","17.1","","19.5","","21.5","","21.0"," a,b"
"49"," Russian Federation","11.9","","11.9","","11.9","","22.9","","18.7","","17.7","","17.7","","17.7"," a,b"
"158"," Rwanda","31.5","","34.5","","30.2","","39.6","","35.2","","36.4","","36.4","","36.4"," a,b"
"90"," Saint Lucia","","","","","","","","","27.4","","27.4","","27.4","","27.4"," a,b"
"143"," Sao Tome and Principe","","","44.2","","44.2","","44.2","","25.8","","25.8","","14.9","","14.9"," a,b"
"164"," Senegal","21.1","","23.9","","21.6","","22.7","","27.7","","27.7","","26.9","","27.7"," a,b"
"67"," Serbia","12.2","","10.3","","10.3","","13.5","","13.5","","17.4","","27.0","","28.7"," a,b"
"62"," Seychelles","","","","","","","","","","","","","","","29.3"," a,b"
"184"," Sierra Leone","22.2","","31.0","","31.0","","31.0","","19.2","","19.2","","19.2","","19.2"," a,b"
"9"," Singapore","","","","","","","","","","","","","","","25.0"," a,b"
"38"," Slovakia","11.7","","9.6","","11.3","","11.5","","11.3","","11.4","","13.5","","13.4"," a,b"
"25"," Slovenia","12.2","","8.5","","9.9","","10.6","","11.0","","11.3","","11.3","","11.4"," a,b"
"152"," Solomon Islands","","","","","","","26.3","","26.3","","26.3","","","","",""
"113"," South Africa","40.9","","","","","","","","57.3","","56.4","","56.4","","56.4"," a,b"
"187"," South Sudan","","","","","","","","","","","","","","","32.3"," a,b"
"26"," Spain","18.5","","16.7","","19.7","","22.1","","23.9","","21.8","","23.3","","23.3"," a,b"
"76"," Sri Lanka","20.8","","20.8","","20.8","","19.6","","13.7","","13.7","","13.7","","21.0"," a,b"
"167"," Sudan","","","","","","","","","","","","","37.3","","33.0"," a,b"
"100"," Suriname","34.9","","34.9","","32.8","","37.3","","37.3","","37.3","","37.3","","37.3"," a,b"
"7"," Sweden","13.0","","10.3","","11.2","","12.4","","13.1","","13.1","","14.6","","15.3"," a,b"
"2"," Switzerland","14.3","","14.3","","14.3","","13.2","","12.3","","15.7","","16.8","","16.8"," a,b"
"155"," Syrian Arab Republic","18.3","","18.3","","18.3","","18.3","","18.3","","18.3","","18.3","","",""
"127"," Tajikistan","15.3","","15.3","","15.0","","15.0","","15.0","","15.0","","15.0","","13.5"," a,b"
"154"," Tanzania (United Republic of)","17.6","","20.6","","20.9","","20.9","","22.7","","22.7","","22.7","","22.4"," a,b"
"83"," Thailand","34.0","","34.0","","34.0","","34.0","","34.0","","34.0","","23.8","","23.8"," a,b"
"80"," The former Yugoslav Republic of Macedonia","21.8","","21.8","","21.8","","21.8","","30.1","","30.1","","30.1","","20.3"," a,b"
"132"," Timor-Leste","19.2","","17.8","","17.8","","17.8","","17.8","","17.8","","17.8","","13.6"," a,b"
"165"," Togo","20.0","","20.0","","20.0","","23.5","","23.5","","23.5","","23.5","","25.1"," a,b"
"69"," Trinidad and Tobago","21.9","","21.9","","21.9","","21.9","","21.9","","21.9","","21.9","","21.9"," a,b"
"95"," Tunisia","21.8","","21.8","","","","","","18.9","","18.9","","18.9","","18.9"," a,b"
"64"," Turkey","26.5","","26.5","","26.5","","21.8","","21.8","","21.8","","21.8","","22.6"," a,b"
"108"," Turkmenistan","38.7","","","","","","","","","","","","26.8","","26.8"," a,b"
"n.a"," Tuvalu","","","","","","","","","","","","","","","23.4"," a,b"
"162"," Uganda","26.4","","29.1","","29.1","","27.3","","27.3","","27.3","","27.3","","24.2"," a,b"
"88"," Ukraine","10.4","","10.9","","10.9","","10.9","","9.2","","9.2","","9.2","","8.5"," a,b"
"14"," United Kingdom","21.0","","17.3","","16.9","","18.8","","17.8","","16.2","","18.2","","19.5"," a,b"
"13"," United States","23.5","","32.4","","24.1","","35.6","","35.6","","27.0","","27.0","","28.1"," a,b"
"55"," Uruguay","26.3","","27.8","","27.9","","27.1","","24.2","","26.2","","26.4","","25.3"," a,b"
"105"," Uzbekistan","17.9","","17.9","","20.1","","20.1","","20.1","","20.1","","20.1","","",""
"138"," Vanuatu","","","","","","","18.5","","18.5","","18.5","","18.5","","19.7"," a,b"
"78"," Venezuela (Bolivarian Republic of)","32.0","","44.9","","44.9","","28.4","","28.4","","28.4","","28.4","","25.2"," a,b"
"116"," Viet Nam","18.2","","11.4","","11.4","","14.6","","22.0","","21.4","","21.4","","21.4"," a,b"
"178"," Yemen","17.6","","17.6","","17.6","","17.6","","20.6","","20.6","","20.6","","21.8"," a,b"
"144"," Zambia","20.8","","20.8","","42.6","","42.6","","42.6","","48.6","","48.6","","48.6"," a,b"
"156"," Zimbabwe","34.5","","34.5","","35.8","","35.8","","35.8","","35.8","","27.0","","27.0"," a,b"
