Country	Country Code	2010	2011	2012	2013	2014	2015	2016	2017
Niger	NER	8.369239798	2.278284739	11.84981918	5.268414897	7.529043068	4.337591116	4.925714486	4.894516591
Nigeria	NGA	7.839739477	4.887386611	4.279277314	5.394416311	6.309718596	2.652693289	-1.61686895	0.81454403
Northern Mariana Islands	MNP	1.383647799	-7.692307692	0.537634409	2.673796791	3.515625	3.773584906	28.60606061	
Norway	NOR	0.691663072	0.971934879	2.721626792	1.044389078	1.975117446	1.970097786	1.091465072	1.918745912
Oman	OMN	4.804711285	-1.108745787	9.332675576	4.372615776	2.751031637	4.738955823	5.384165936	-0.2726752
Pakistan	PAK	1.606691959	2.74840255	3.50703342	4.396456633	4.674707981	4.731147475	5.526735845	5.700621241
Palau	PLW	-0.920003647	6.339645919	3.964637773	-1.51623473	2.697243401	10.13790025	0.058822947	-3.720478368
Panama	PAN	5.827993494	11.31362591	9.778827683	6.903436783	5.066613016	5.575764718	4.988592404	5.356521266
Papua New Guinea	PNG	10.12468634	1.107310928	4.648420685	3.82993118	15.42145307	5.298986928	1.9	2.2
Paraguay	PRY	13.09300368	4.342407086	-1.238968506	14.03627767	4.722333745	2.962236311	4.019554951	0.772051674
Peru	PER	8.332459107	6.327192402	6.139724706	5.852518211	2.376022873	3.251369628	3.951309192	2.527430678
Philippines	PHL	7.63226478	3.659751601	6.683818881	7.064024264	6.145298786	6.066548903	6.875714823	6.684517503
Poland	POL	3.606928261	5.0172352	1.607906645	1.391892321	3.283146264	3.844593971	2.864328679	4.550386923
Portugal	PRT	1.898691176	-1.826852351	-4.028256748	-1.130155823	0.893187725	1.822066826	1.619414633	2.679827103
Puerto Rico	PRI	-0.413254118	-0.358510628	0.02927511	-0.306826657	-1.190363454	-1.112697789	-2.606125218	
Qatar	QAT	19.59233153	13.37517641	4.687259177	4.410274619	3.978882147	3.551015687	2.223120972	1.596131504
Romania	ROU	-2.81159948	2.029777987	1.238182574	3.531597971	3.076313965	3.973807549	4.820774465	6.947074694
Russian Federation	RUS	4.503725626	5.284885415	3.655901573	1.785354501	0.738600773	-2.828240813	-0.224910984	1.545630229
Rwanda	RWA	7.334638773	8.017106915	8.64572902	4.658872927	7.62457575	8.867977374	5.981314913	6.100594048
Samoa	WSM	0.479158713	5.778544297	0.402103619	-1.933858756	1.196147337	1.634776026	7.145168855	2.5
San Marino	SMR	-4.655493482	-9.440104167	-7.54852624	-3.032659409	-0.882117081	0.485436893	0.966183575	1.236044657
Sao Tome and Principe	STP	6.67198532	4.398201688	3.141975849	4.814794387	6.549933102	3.819988535	4.179209268	3.874960221
Saudi Arabia	SAU	5.039493675	9.996857794	5.411444902	2.699254723	3.652481698	4.10640887	1.670642347	-0.735462899
Senegal	SEN	4.179363063	1.761118048	4.411180285	3.455471651	4.075083326	6.456907802	6.741818201	6.78708045
Serbia	SRB	0.584478088	1.401465736	-1.015270388	2.571734107	-1.831301107	0.757715153	2.797323719	1.867428896
Seychelles	SYC	5.954962469	7.887279597	1.260828819	6.018076268	4.504785431	4.937386459	4.503031591	4.2
Sierra Leone	SLE	5.346466053	6.315045036	15.18176908	20.71576829	4.556772366	-20.59877072	6.055474029	4.157662051
Singapore	SGP	15.24037704	6.350673205	4.08329765	5.111087259	3.883887305	2.241057968	2.397021458	3.618542336
Slovak Republic	SVK	5.041716665	2.819099518	1.657148687	1.490646438	2.750335017	3.850100604	3.324695296	3.400166311
Slovenia	SVN	1.237755909	0.649366928	-2.669582052	-1.132054981	2.979196038	2.258902398	3.14835549	5.000808222
Solomon Islands	SLB	6.80904496	13.19563266	4.555394299	3.017849444	2.250090711	2.542240201	3.456606233	3.238417147
South Africa	ZAF	3.039777063	3.284165053	2.213353653	2.485185835	1.847008442	1.279538256	0.565362939	1.32006117
Spain	ESP	0.014063878	-0.998764958	-2.927750507	-1.705705	1.379997238	3.432253328	3.27446274	3.051719616
Sri Lanka	LKA	8.015959407	8.404738131	9.144579388	3.395722774	4.960706541	5.007683305	4.468829688	3.112558095
St. Kitts and Nevis	KNA	-2.249103079	2.398730628	-0.600550412	6.219894476	5.963056556	3.976354829	2.209120435	1.743095266
St. Lucia	LCA	-1.622156007	0.630457972	0.181454981	3.394611044	-0.21548569	1.963608034	1.653612508	2.690312051
St. Vincent and the Grenadines	VCT	-3.35352589	-0.419351482	1.380643001	1.832286046	0.984189177	1.822457378	1.270207852	1.596351197
Sudan	SDN	3.469335093	-1.967728979	0.521559267	4.394711132	2.679411813	4.906045175	4.700000042	4.283071004
Suriname	SUR	5.168825162	5.849367784	2.690350057	2.93344123	0.255503145	-2.597529896	-5.142397102	0.095480586
Sweden	SWE	5.988926547	2.664407951	-0.286320615	1.241204917	2.604326565	4.521969347	3.234941922	2.28811587
Switzerland	CHE	3.002699108	1.692808495	1.006024097	1.852039757	2.449218097	1.226384359	1.375884496	1.086792219
Tajikistan	TJK	6.500000353	7.399999383	7.499999169	7.40000057	6.69925066	6	6.900001455	7.100000708
Tanzania	TZA	6.358886081	7.904507572	5.141013621	7.263060997	6.965134936	6.959314247	6.968129493	7.104161265
Thailand	THA	7.513590658	0.839959472	7.242786605	2.687379919	0.984414064	3.020173993	3.282683075	3.902975042
Timor-Leste	TLS	-1.167360954	11.83147299	4.964954576	-11.00132909	-26.04971323	20.88076021	0.824533627	-8
Togo	TGO	3.99567877	4.883763946	4.820343516	3.967792633	5.871726319	5.384842189	5.398146189	5.565791042
Tonga	TON	3.585657371	2.785145889	0.890322581	-3.120603658	2.072607261	3.71184687	3.37947375	2.7
Trinidad and Tobago	TTO	3.323330512	-0.29435443	1.29397895	0.98084981	-0.252162763	1.517162962	-5.957061347	-2.336014124
Tunisia	TUN	3.510608639	-1.91717768	3.997674002	2.875523842	2.971398345	1.153615837	1.108392968	1.955125675
Turkey	TUR	8.487372187	11.11349555	4.789940207	8.491309393	5.166690703	6.085886632	3.183831543	7.418643975
Turkmenistan	TKM	9.199999988	14.69999993	11.09999996	10.2000001	10.29999997	6.49999991	6.199999966	6.500000047
Tuvalu	TUV	-2.729427912	7.515856516	-3.835524508	4.576641646	1.347923876	9.142911919	3.034951029	3.241589118
Uganda	UGA	5.637599803	9.391667749	3.837455606	3.586905826	5.106307324	5.187859863	4.656575598	3.964779888
Ukraine	UKR	4.200000018	5.465531905	0.238681306	-0.026729649	-6.552618891	-9.772973947	2.307601934	2.500467472
United Arab Emirates	ARE	1.602809961	6.930271629	4.484626085	5.053345825	4.398696682	5.064701529	2.988441821	0.790400388
United Kingdom	GBR	1.69454714	1.45262397	1.481329829	2.052388508	3.054251012	2.345939517	1.93579095	1.787150985
United States	USA	2.531920616	1.601454672	2.224030854	1.67733153	2.569193594	2.861587025	1.485279193	2.273338548
Uruguay	URY	7.803409668	5.162133026	3.538178707	4.637538643	3.238791216	0.370741267	1.689798162	2.656684456
Uzbekistan	UZB	8.500000001	8.299999999	8.200000001	8.000000001	7.792522371	7.999999999	7.800000002	5.299999999
Vanuatu	VUT	1.629081596	1.223225535	1.754749927	1.96914608	2.331006215	-0.801094177	4.000574486	4.500680305
Venezuela. RB	VEN	-1.488791251	4.176425359	5.625956975	1.343094036	-3.894386475			
Vietnam	VNM	6.423238217	6.240302749	5.247367156	5.421882991	5.983654637	6.679288789	6.210811668	6.81224566
Virgin Islands (U.S.)	VIR	0.904116108	-8.158453195	-15.01925546	-5.80060423	-0.962155228	0.194300518		
West Bank and Gaza	PSE	8.099088919	12.4136354	6.284236374	2.217422213	-0.181891133	3.428732213	4.708435256	3.14023678
Yemen. Rep.	YEM	7.70230704	-12.7148969	2.392972347	4.823414981	-0.188591449	-37.14675128	-34.33975436	
Zambia	ZMB	10.29820585	5.564624717	7.597616969	5.059376378	4.695826373	2.91988111	3.757177805	4.076715497
Zimbabwe	ZWE	12.58102697	15.44573298	14.77959514	5.529787208	2.127083908	1.689594592	0.615713754	3.447095145
Arab World	ARB	4.748924979	3.609237914	6.695225909	3.134329137	2.453628864	3.277541767	3.004694683	1.192245953
Caribbean small states	CSS	1.413614189	1.050031515	1.358767933	0.985441793	0.5843024	1.209958924	-1.889666267	0.029012751
Central Europe and the Baltics	CEB	1.712525407	3.210544154	0.639478863	1.345862088	2.973749693	3.805115506	3.064467377	4.582488748
Early-demographic dividend	EAR	6.464632154	5.23193225	4.233965537	4.305662775	4.015277276	4.659343835	4.53092925	4.61047763
East Asia & Pacific	EAS	7.065366062	4.616971781	4.682202389	4.749631862	4.127668998	4.16457268	4.105563478	4.552451877
East Asia & Pacific (excluding high income)	EAP	9.778051828	8.45933628	7.507055058	7.193213626	6.761650304	6.492873594	6.332613497	6.583177307
East Asia & Pacific (IDA & IBRD countries)	TEA	9.778523387	8.459884872	7.50777997	7.193620769	6.761885732	6.493215447	6.332926685	6.582982023
Euro area	EMU	2.084709719	1.605547544	-0.890487771	-0.24704271	1.333683054	2.085502446	1.800978124	2.366339651
Europe & Central Asia	ECS	2.577869633	2.404697901	0.291667621	0.892296959	1.833802277	1.968127006	1.822728052	2.594949652
Europe & Central Asia (excluding high income)	ECA	5.166788503	6.556370975	3.638076192	4.022562328	2.2121431	0.566405766	1.505102375	3.989558844
Europe & Central Asia (IDA & IBRD countries)	TEC	4.843285035	6.240087722	3.282555408	3.616899346	2.31419765	1.006081671	1.705161879	4.046398363
European Union	EUU	2.100617664	1.706003477	-0.424744451	0.258024319	1.743221281	2.316113007	1.957070595	2.435083499
Fragile and conflict affected situations	FCS	6.190742227	-5.451466484	14.07921357	3.6404464	1.084763601	2.188887527	4.298242127	3.443579705
Heavily indebted poor countries (HIPC)	HPC	5.689597141	4.738977893	5.797213623	5.769791882	5.607802687	5.0884916	4.521366354	5.253526817
High income	HIC	2.988709108	1.883480993	1.249631763	1.394706713	2.015649346	2.338285782	1.656341386	2.231991588
IBRD only	IBD	7.457744036	6.184729883	5.011057197	4.978403628	4.268634965	3.838527334	4.087308381	4.869962675
